query_id,formal_ndcg@10,formal_recall@100,formal_mrr@10,informal_ndcg@10,informal_recall@100,informal_mrr@10,normalized_ndcg@10,normalized_recall@100,normalized_mrr@10,strong_norm_ndcg@10,strong_norm_recall@100,strong_norm_mrr@10,heavy_ndcg@10,heavy_recall@100,heavy_mrr@10,heavy_normalized_ndcg@10,heavy_normalized_recall@100,heavy_normalized_mrr@10,formal_vs_informal,formal_vs_normalized,formal_vs_strong_norm,formal_vs_heavy,formal_vs_heavy_normalized
1006,0.7654,0.6667,1.0,0.7654,0.6667,1.0,0.7654,0.6667,1.0,0.7654,0.6667,1.0,0.1815,0.6667,0.2,0.7654,0.6667,1.0,0.9948,0.9944,0.9781,0.839,0.8636
1082,0.6934,1.0,0.5,1.0,1.0,1.0,0.9197,1.0,1.0,0.9197,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9522,0.9664,0.9659,0.8124,0.8961
1088,0.3109,0.8571,0.5,0.3109,0.8571,0.5,0.3109,0.8571,0.5,0.3109,0.8571,0.5,0.0,0.2857,0.0,0.2291,0.4286,0.3333,0.9892,0.9941,0.9903,0.8842,0.9108
1116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9595,0.9638,0.9834,0.8322,0.9395
1130,0.4693,0.3333,1.0,0.4693,0.3333,1.0,0.4693,0.3333,1.0,0.4693,0.3333,1.0,0.0,0.0,0.0,0.4693,0.3333,1.0,0.9963,0.9954,0.9999,0.8669,0.9061
1158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9632,0.9665,0.9801,0.8271,0.9156
1198,0.3869,1.0,0.5,0.3869,1.0,0.5,0.3869,1.0,0.5,0.3869,1.0,0.5,0.0,0.0,0.0,0.3869,1.0,0.5,0.9766,0.9766,1.0,0.8293,0.9546
1239,0.4066,0.7692,0.3333,0.3764,0.6923,0.25,0.3128,0.6923,0.25,0.4427,0.7692,0.5,0.0734,0.0769,0.1429,0.1389,0.2308,0.5,0.9898,0.9929,0.982,0.8484,0.8727
1252,0.3904,1.0,1.0,0.3904,1.0,1.0,0.3904,1.0,1.0,0.3904,1.0,1.0,0.0,0.0,0.0,0.3973,1.0,0.5,0.988,0.9921,0.9972,0.8489,0.8925
1266,0.4944,0.9,1.0,0.4252,1.0,1.0,0.4252,1.0,1.0,0.4035,0.9,1.0,0.0,0.1,0.0,0.1389,0.5,0.5,0.9591,0.9626,0.9575,0.8527,0.8809
1374,0.2529,0.375,1.0,0.2529,0.25,1.0,0.2529,0.25,1.0,0.2529,0.375,1.0,0.1596,0.125,0.5,0.2529,0.125,1.0,0.9812,0.9864,1.0,0.8537,0.9538
1407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934,0.9938,0.9894,0.851,0.9729
1410,0.3066,1.0,0.3333,0.3869,1.0,0.5,0.3869,1.0,0.5,0.3869,1.0,0.5,0.0,0.0,0.0,0.3869,0.5,0.5,0.9453,0.9492,0.9709,0.8124,0.864
1450,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6309,1.0,0.5,0.9606,0.9632,1.0,0.8374,0.8756
1559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9898,0.9915,0.999,0.7976,0.9485
1725,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9889,0.9936,0.9968,0.8712,0.9241
1731,0.4307,1.0,0.25,0.4307,1.0,0.25,0.4307,1.0,0.25,0.4307,1.0,0.25,0.0,0.0,0.0,0.6309,1.0,0.5,0.9759,0.9764,1.0,0.8818,0.9384
1769,0.363,1.0,0.5,0.3445,1.0,0.5,0.446,1.0,1.0,0.3625,1.0,0.5,0.0,0.0,0.0,0.2202,1.0,0.3333,0.9516,0.9615,0.9919,0.8715,0.9431
1854,0.5438,1.0,0.3333,0.6053,1.0,0.5,0.5912,1.0,0.5,0.5013,1.0,0.25,0.0,0.0,0.0,0.3869,0.5,0.5,0.9821,0.9844,0.9971,0.8629,0.9132
