query_id,formal_ndcg@10,formal_recall@100,formal_mrr@10,informal_ndcg@10,informal_recall@100,informal_mrr@10,normalized_ndcg@10,normalized_recall@100,normalized_mrr@10,formal_vs_informal,formal_vs_normalized
1006,0.7654,0.6667,1.0,0.7654,0.6667,1.0,0.7654,0.6667,1.0,0.9948,0.9944
1082,0.6934,1.0,0.5,1.0,1.0,1.0,0.9197,1.0,1.0,0.9522,0.9664
1088,0.3109,0.8571,0.5,0.3109,0.8571,0.5,0.3109,0.8571,0.5,0.9892,0.9941
1116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9595,0.9638
1130,0.4693,0.3333,1.0,0.4693,0.3333,1.0,0.4693,0.3333,1.0,0.9963,0.9954
1158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9632,0.9665
1198,0.3869,1.0,0.5,0.3869,1.0,0.5,0.3869,1.0,0.5,0.9766,0.9766
1239,0.4066,0.7692,0.3333,0.3764,0.6923,0.25,0.3128,0.6923,0.25,0.9898,0.9929
1252,0.3904,1.0,1.0,0.3904,1.0,1.0,0.3904,1.0,1.0,0.988,0.9921
1266,0.4944,0.9,1.0,0.4252,1.0,1.0,0.4252,1.0,1.0,0.9591,0.9626
1374,0.2529,0.375,1.0,0.2529,0.25,1.0,0.2529,0.25,1.0,0.9812,0.9864
1407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934,0.9938
1410,0.3066,1.0,0.3333,0.3869,1.0,0.5,0.3869,1.0,0.5,0.9453,0.9492
1450,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9606,0.9632
1559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9898,0.9915
1725,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9889,0.9936
1731,0.4307,1.0,0.25,0.4307,1.0,0.25,0.4307,1.0,0.25,0.9759,0.9764
1769,0.363,1.0,0.5,0.3445,1.0,0.5,0.446,1.0,1.0,0.9516,0.9615
1854,0.5438,1.0,0.3333,0.6053,1.0,0.5,0.5912,1.0,0.5,0.9821,0.9844
1858,0.9469,1.0,1.0,0.9675,1.0,1.0,0.9675,1.0,1.0,0.963,0.9659
19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9953,0.9953
1905,0.2044,1.0,0.1429,0.0,1.0,0.0,0.1772,1.0,0.1,0.9704,0.9739
1911,0.142,0.8,0.1667,0.1488,0.8,0.2,0.1546,0.8,0.2,0.9806,0.9814
1913,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9435,0.9457
1928,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9809,0.9851
1956,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.9843,0.9851
2001,0.482,1.0,0.25,0.6608,1.0,0.5,0.6608,1.0,0.5,0.887,0.8912
203,0.3904,0.75,1.0,0.5135,0.75,1.0,0.5079,0.75,1.0,0.9724,0.9797
2035,0.6678,1.0,1.0,0.769,1.0,1.0,0.7609,1.0,1.0,0.9893,0.9931
21,0.1934,1.0,0.125,0.0,0.5,0.0,0.0,0.5,0.0,0.9584,0.9585
2148,1.0,1.0,1.0,0.6309,1.0,0.5,1.0,1.0,1.0,0.9847,0.9872
2154,0.2346,1.0,0.3333,0.0,1.0,0.0,0.0,1.0,0.0,0.9227,0.9247
2161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9571,0.9593
2188,0.8772,1.0,1.0,0.8772,1.0,1.0,0.8772,1.0,1.0,0.9953,0.9877
220,0.5,1.0,0.3333,0.5,1.0,0.3333,0.5,1.0,0.3333,0.9937,0.9945
2233,0.2918,0.8571,0.5,0.2798,0.8571,0.5,0.3109,0.8571,0.5,0.9959,0.9973
2262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9887,0.989
2843,1.0,1.0,1.0,0.6309,1.0,0.5,0.6309,1.0,0.5,0.9918,0.9915
2898,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.962,0.9624
2919,0.8503,1.0,1.0,0.8316,1.0,1.0,0.8316,1.0,1.0,0.9746,0.975
2965,0.9829,1.0,1.0,0.5294,1.0,1.0,0.7157,1.0,1.0,0.9027,0.9377
298,0.3967,0.5556,1.0,0.3771,0.5556,1.0,0.2224,0.5556,0.5,0.9406,0.9375
2987,0.4084,0.8889,0.5,0.2624,0.7778,0.3333,0.3405,0.8889,0.5,0.9532,0.9939
3042,0.5,1.0,0.3333,1.0,1.0,1.0,0.3869,1.0,0.2,0.8972,0.9671
3046,0.4441,0.8,1.0,0.4226,0.8,1.0,0.4284,0.8,1.0,0.9765,0.9929
3071,0.2372,1.0,0.2,0.0,1.0,0.0,0.0,1.0,0.0,0.8873,0.8873
3084,0.7757,1.0,1.0,0.1232,0.5,0.125,0.6367,0.75,1.0,0.8539,0.8929
310,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9531,0.9748
3110,0.6131,1.0,1.0,0.6131,0.5,1.0,0.6131,1.0,1.0,0.9919,0.9944
3119,0.3585,1.0,0.25,0.0,0.3333,0.0,0.2021,1.0,0.25,0.8274,0.9528
3121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9396,0.9635
316,0.7582,0.8,1.0,0.6601,0.8,1.0,0.6601,0.8,1.0,0.9759,0.9745
3212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9685,0.97
3213,1.0,1.0,1.0,0.6309,1.0,0.5,0.6309,1.0,0.5,0.9544,0.9554
3227,0.693,1.0,1.0,0.6629,1.0,1.0,0.7484,1.0,1.0,0.9744,0.9779
324,0.5087,0.6,1.0,0.0,0.2,0.0,0.1696,0.4,0.3333,0.8927,0.9139
3254,0.5925,0.75,0.5,0.1391,0.75,0.1667,0.2983,1.0,0.25,0.9364,0.9463
3273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9224,0.9857
3406,0.5,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,0.9843,0.9845
3452,1.0,1.0,1.0,0.5,1.0,0.3333,0.5,1.0,0.3333,0.9404,0.9406
3472,0.5585,0.75,1.0,0.5585,0.75,1.0,0.5585,0.75,1.0,0.987,0.9882
3482,0.1357,0.3333,0.1,0.0,0.3333,0.0,0.0,0.3333,0.0,0.9839,0.9893
358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9727,0.9722
3609,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.8807,0.9624
361,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.9654,0.9629
3616,0.1413,1.0,0.1111,0.1564,1.0,0.1429,0.2893,1.0,0.125,0.9514,0.9539
3620,0.3904,1.0,1.0,0.2983,1.0,0.25,0.2463,1.0,0.5,0.9099,0.9174
3662,0.301,1.0,0.1111,0.2891,1.0,0.1,0.0,1.0,0.0,0.9332,0.9354
367,0.3836,1.0,0.5,0.3601,0.8,0.5,0.3836,0.6,0.5,0.959,0.9371
3696,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.9812,0.9902
3731,0.5,1.0,0.3333,0.5,1.0,0.3333,0.5,1.0,0.3333,0.9259,0.9539
3767,0.2749,0.8571,1.0,0.2749,0.8571,1.0,0.3576,0.8571,1.0,0.9633,0.9724
3779,0.4237,0.8889,0.5,0.3072,0.7778,0.5,0.4753,0.7778,0.5,0.9574,0.9855
3787,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9633,0.9592
389,0.3026,1.0,1.0,0.3026,1.0,1.0,0.3937,1.0,1.0,0.9637,0.9662
3892,0.7533,1.0,1.0,0.6218,1.0,1.0,0.6218,1.0,1.0,0.9293,0.9287
3917,1.0,1.0,1.0,0.5,1.0,0.3333,0.0,0.0,0.0,0.9235,0.8107
3930,0.3562,1.0,0.1667,0.3869,1.0,0.2,0.3869,1.0,0.2,0.9885,0.9881
3969,0.3869,1.0,0.2,0.4307,1.0,0.25,0.5,1.0,0.3333,0.9687,0.9682
3984,0.3562,1.0,0.1667,0.5,1.0,0.3333,0.6309,1.0,0.5,0.9688,0.9763
3992,0.581,1.0,1.0,0.6721,1.0,1.0,0.6013,1.0,1.0,0.9752,0.9753
4031,0.3869,1.0,0.5,0.3869,1.0,0.5,0.3869,1.0,0.5,0.9878,0.9881
4168,0.0,1.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,0.9577,0.9578
4183,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9385,0.9656
4198,0.6548,1.0,1.0,0.6218,0.6,1.0,0.6548,0.6,1.0,0.9151,0.9329
4217,0.4575,1.0,0.25,0.1772,1.0,0.1,0.0,1.0,0.0,0.9094,0.9316
4232,0.3163,0.7143,0.25,0.2798,0.5714,0.5,0.2918,0.5714,0.5,0.9183,0.919
4254,0.1171,0.5,0.2,0.1303,0.5,0.25,0.1303,0.5,0.25,0.9532,0.9574
4332,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9657,0.9669
4358,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9504,0.9889
4362,1.0,1.0,1.0,0.4307,1.0,0.25,1.0,1.0,1.0,0.989,0.9933
4387,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9325,0.9852
4436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9639,0.9649
4574,0.0,1.0,0.0,0.1312,1.0,0.2,0.1312,1.0,0.2,0.9547,0.9565
4589,0.2044,1.0,0.1429,0.1846,1.0,0.1111,0.1934,1.0,0.125,0.9674,0.9649
4600,0.6309,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.9281,0.9311
4603,0.3127,0.75,0.3333,0.3342,0.75,0.3333,0.3342,0.75,0.3333,0.9663,0.9665
